date,mahalanobis_distance,pca_reconstruction_error,kmeans_regime,max_abs_rolling_zscore
2025-08-22,3.6461201237757184,1.097444673180363,Normal input regime,1.805119395239268
2025-08-25,2.0865770141149755,0.6459724992595663,Watch input regime,1.377331836217063
2025-08-26,3.9502999574106332,1.3514634645107844,Normal input regime,2.599447274934615
2025-08-27,3.1461085866810428,0.7559812108087959,Normal input regime,1.8854767107349335
2025-08-28,2.57733467405054,0.9394693088214907,Normal input regime,1.8563253237962574
2025-08-29,2.2356845494103825,0.8193329876346493,Normal input regime,1.7446509058433177
2025-09-02,2.5170282263938604,0.5539562051408199,Watch input regime,1.2722689068596444
2025-09-03,2.3581984684533417,0.37429160946255924,Normal input regime,1.7234423426195278
2025-09-04,1.997986089079703,0.4238033234206722,Normal input regime,1.9957724106750145
2025-09-05,2.9340781057141134,0.6812360566382988,Normal input regime,2.48848814969482
2025-09-08,3.737700120772349,1.2638220638978852,Normal input regime,2.6657408451370888
2025-09-09,2.1056065540282125,0.6328973594130122,Watch input regime,2.4177169783484707
2025-09-10,2.370917768824622,0.7124100210444246,Normal input regime,2.5819162378264253
2025-09-11,2.7973473424543434,0.7567240821857747,Normal input regime,2.659552790200256
2025-09-12,2.298771212348874,0.7117591797469154,Stress input regime,2.34572850736038
2025-09-15,2.0482290409359636,0.6981900749379981,Normal input regime,2.4250990430588826
2025-09-16,2.0536352578933865,0.6943063859834943,Normal input regime,2.423969893964168
2025-09-17,2.2800064828858,0.7098501415259654,Stress input regime,2.2795853306441205
2025-09-18,2.4833984179913546,0.6566480505114278,Watch input regime,1.866725663156771
2025-09-19,2.118280142957327,0.49162114972160337,Watch input regime,1.6874099787868715
2025-09-22,2.235737121140541,0.6912346158115331,Stress input regime,1.4503342108771842
2025-09-23,3.4679616358919154,0.952391776430272,Normal input regime,1.6374114983100734
2025-09-24,1.9681264450031422,0.5581548642417884,Stress input regime,1.4071581214046311
2025-09-25,2.523596710861224,0.7038733292780079,Stress input regime,1.4487008044311618
2025-09-26,1.7049387445673863,0.47791812310894616,Watch input regime,1.0963027304572854
2025-09-29,2.824018690262328,0.9947524753445981,Normal input regime,1.3484888871681002
2025-09-30,1.8626490085536573,0.6994998314171217,Normal input regime,1.200467499174768
2025-10-01,2.3622582346604086,0.38791622023865485,Normal input regime,1.3897298438384629
2025-10-02,1.6831510991760035,0.47307758856212734,Normal input regime,1.4448775015420674
2025-10-03,2.146091098775828,0.558922483318751,Stress input regime,1.1690849684915636
2025-10-06,4.0035237896475175,0.29414309211308254,Watch input regime,2.055574193868019
2025-10-07,2.0180861306319215,0.5634829776628514,Normal input regime,1.2338894785018744
2025-10-08,2.178991324443144,0.7537686427443526,Watch input regime,1.29479548972969
2025-10-09,1.8540331469891962,0.4451851729384698,Stress input regime,1.1688620753044363
2025-10-10,3.0711805070494966,0.6968705921005671,Normal input regime,1.8106396656776622
2025-10-14,2.0454020236345762,0.6436372999399611,Normal input regime,1.5561264597346665
2025-10-15,1.8027637193982278,0.5443382234539922,Watch input regime,1.3391504278502178
2025-10-16,2.5780769887049697,0.6408848542381651,Normal input regime,1.651453455077792
2025-10-17,2.3315889931274025,0.7051699230350567,Watch input regime,1.3626486644285813
2025-10-20,1.8428974060513579,0.47836193268143073,Normal input regime,1.4063663780372386
2025-10-21,2.361323416123385,0.8163690114250408,Normal input regime,1.6405938573793668
2025-10-22,1.997336107819409,0.679683539818515,Normal input regime,1.7369064691533458
2025-10-23,2.090089557189432,0.5998759237097556,Watch input regime,1.5136195152116536
2025-10-24,1.826542158473858,0.5833491362945067,Watch input regime,1.3594908184070025
2025-10-27,1.8499778177993893,0.5431697466541444,Normal input regime,1.3362862071649257
2025-10-28,1.6700227539478107,0.582948973913951,Normal input regime,1.4396476599036518
2025-10-29,2.989044277947199,0.6095975430262661,Stress input regime,2.006930915585921
2025-10-30,2.3076303054779896,0.46616890671269895,Watch input regime,1.0813537713111188
2025-10-31,2.007673079748559,0.6680436254617786,Normal input regime,1.2022550834241224
2025-11-03,1.5175622363918633,0.31976312634330695,Watch input regime,0.6900185529692159
2025-11-04,1.6330460523870989,0.42966453332620247,Normal input regime,1.0524538761356026
2025-11-05,2.370924660742225,0.651508286383512,Stress input regime,1.6039542215572635
2025-11-06,1.7404464458688507,0.1708512505961604,Normal input regime,1.2941679470353022
2025-11-07,1.7874297513754827,0.6316589386935195,Normal input regime,1.1096311070730989
2025-11-10,2.0250332628022303,0.6150532718774543,Watch input regime,1.366600031579869
2025-11-12,1.8475285814370948,0.4745482833531183,Normal input regime,1.0704800145780657
2025-11-13,1.2036398840213496,0.3687200884985833,Stress input regime,0.7521438157071223
2025-11-14,1.800803650433412,0.3611930284472031,Watch input regime,0.868185788758606
2025-11-17,2.0249687516205093,0.34068594083442405,Watch input regime,1.4211415723028404
2025-11-18,1.5465808196093922,0.47322799062883564,Normal input regime,0.9484575329540597
2025-11-19,0.8731176320162806,0.1657395994248105,Watch input regime,0.4063387248642338
2025-11-20,1.7709863531404009,0.4834567074730522,Normal input regime,1.6160927644880547
2025-11-21,2.05638082760963,0.4464055848567748,Normal input regime,1.3068008001289075
2025-11-24,2.403979311942804,0.5717675732929947,Normal input regime,1.0930008812792027
2025-11-25,2.268524959522374,0.5035205902975484,Normal input regime,1.626531761215251
2025-11-26,1.983224881358869,0.6920618247844155,Normal input regime,1.3956508852025677
2025-11-28,1.3694230424964522,0.4145739085169287,Stress input regime,0.7173746384997269
2025-12-01,2.2029890780525343,0.32496926465741277,Watch input regime,1.7486434890902303
2025-12-02,1.460311098966412,0.3174572869286503,Watch input regime,1.0825616776670648
2025-12-03,1.7045872804354176,0.3751393356884977,Normal input regime,0.9811424686114504
2025-12-04,2.0790039754885,0.4425993459293958,Stress input regime,1.2576757352680372
2025-12-05,1.2933869007136298,0.2578947135330673,Stress input regime,0.9110906454990461
2025-12-08,1.4394531597953617,0.3776108013050776,Stress input regime,0.9208459308725111
2025-12-09,1.4519403759525826,0.41753067446590164,Stress input regime,1.4492755432972488
2025-12-10,1.9154586814862455,0.4541104964575946,Normal input regime,1.3363381557369098
2025-12-11,1.5448592246227588,0.29817452529446753,Watch input regime,1.0443708726382268
2025-12-12,2.3195620967176507,0.8299441032867039,Stress input regime,1.7389677943396795
2025-12-15,0.7884086327141377,0.19969841696439888,Normal input regime,0.5675957614831068
2025-12-16,1.6081262238999479,0.36930759580254097,Normal input regime,1.121975127942633
2025-12-17,0.7435166935310895,0.18513635223519104,Watch input regime,0.6010767427573437
2025-12-18,1.3948511078971912,0.27847805391996916,Normal input regime,1.1754863557278568
2025-12-19,2.61453834584736,0.4549135363835502,Watch input regime,1.7857944986735141
2025-12-22,2.159109913388286,0.7186599428369124,Watch input regime,1.745360564946327
2025-12-23,1.7132124681957008,0.5334694456930442,Watch input regime,1.1440917956278898
2025-12-24,2.1435523116301303,0.18997229368924964,Normal input regime,2.0289533508359763
2025-12-29,1.3252415667800672,0.15426483112827458,Normal input regime,1.264691211343942
2025-12-30,1.58129075675556,0.5339052967188884,Stress input regime,1.1748420931346466
2025-12-31,1.5651340904624997,0.32363734605390326,Stress input regime,1.0389232645050162
2026-01-02,0.9892558186979905,0.3530370800351018,Stress input regime,0.8693540167166163
2026-01-05,2.340241085335567,0.5240155462104612,Watch input regime,1.6498801617557675
2026-01-06,0.7767998455828634,0.22133700047034277,Stress input regime,0.6055953753834984
2026-01-07,1.674441060432404,0.33076755263362534,Normal input regime,1.1951813138192724
2026-01-08,1.7608456363162661,0.48454115147363125,Stress input regime,1.257125205645194
2026-01-09,2.374369292696039,0.7634754503230676,Stress input regime,2.2629566908951686
2026-01-12,0.913776105357295,0.22668319270832268,Watch input regime,0.6058756725297904
2026-01-13,1.2321138599012935,0.3618141879028516,Normal input regime,0.6923381836272462
2026-01-14,1.3121357348051053,0.16393423198574494,Normal input regime,0.913175065789369
2026-01-15,1.8593721260762246,0.49439801871902184,Stress input regime,1.800425711321328
2026-01-16,2.9117149903381954,0.8208560046340027,Stress input regime,2.4010871649805856
2026-01-20,4.142793532523425,0.634751148862886,Watch input regime,3.334608866221649
2026-01-21,2.3894596156987706,0.5655079390880718,Normal input regime,1.5169067312559437
2026-01-22,2.816115671758004,0.8547290592728298,Stress input regime,1.7988376938740815
2026-01-23,1.2818132245354135,0.4055579002359827,Normal input regime,0.9441955161979009
2026-01-26,5.480268023838727,1.034945484070872,Watch input regime,5.111107504723111
2026-01-27,2.500964817517193,0.6040604353357408,Watch input regime,1.7644470950326787
2026-01-28,1.4377292820278347,0.3849524732846747,Stress input regime,1.3375810807459023
2026-01-29,1.230873848960885,0.3262750165833515,Normal input regime,1.075639038640621
2026-01-30,1.555118465395056,0.5903486315908989,Watch input regime,1.075639038640621
2026-02-02,1.8067019422365418,0.5195269610422457,Watch input regime,1.2903570386701226
2026-02-03,1.4662679394454965,0.38094697415412593,Normal input regime,1.0419999771064001
2026-02-04,1.4651119127627048,0.33280208568744263,Watch input regime,1.3106337921645441
2026-02-05,2.9860844680659895,0.37378312546618675,Normal input regime,2.304812434389791
2026-02-06,1.7584095925959198,0.39984171090169796,Stress input regime,1.4198591507608944
2026-02-09,1.7210485342976174,0.26989916539094805,Watch input regime,1.4343801004582173
2026-02-10,2.320645121421629,0.7399211800694182,Normal input regime,2.0867285396951805
2026-02-11,3.0772309812734324,0.8912052590745435,Watch input regime,2.0287669890728415
2026-02-12,2.9456752704618454,0.6024427538383345,Normal input regime,2.474228750143079
2026-02-13,2.002659604168928,0.44999952364431733,Normal input regime,1.3445670596114538
2026-02-17,1.9388619702971797,0.6502620727123195,Watch input regime,1.171934296539855
2026-02-18,1.9114154071095588,0.5700795001992873,Stress input regime,2.1325904611537934
2026-02-19,1.8301151010715135,0.4899039029505728,Watch input regime,1.3968854830753967
2026-02-20,1.7885720977323365,0.47158645813559513,Normal input regime,0.8011811105268716
2026-02-23,2.5393134176845424,0.5530013676844666,Normal input regime,1.5657989334137965
2026-02-24,1.672991367164297,0.4596785679244481,Watch input regime,0.7701986233105561
2026-02-25,1.7894560669452033,0.5879482381733065,Watch input regime,1.4429465206825116
2026-02-26,1.732883236100335,0.4891550975391138,Normal input regime,1.168385019788366
2026-02-27,2.5120512978716687,0.5846346394184366,Normal input regime,2.0825600379163394
2026-03-02,3.4770577793217816,0.8505095955571296,Watch input regime,2.855867475228187
2026-03-03,2.559635997650096,0.7884565844353637,Watch input regime,2.031602543115183
2026-03-04,1.4470336545603402,0.3937162812519845,Stress input regime,1.0423173384810602
2026-03-05,1.9257810941781741,0.4629207883490701,Stress input regime,1.4521216475403727
2026-03-06,2.846454594677306,0.9236514236000523,Watch input regime,2.7445847184464394
2026-03-09,2.077344099726398,0.7180008593942757,Normal input regime,1.5778033931483142
2026-03-10,2.5803757910847427,0.5906020188395584,Watch input regime,1.7129057018775549
2026-03-11,2.6963467088708915,0.6289180881384134,Stress input regime,2.0206449441171346
2026-03-12,2.946475820193326,0.7088142055612867,Stress input regime,2.7208067028915597
2026-03-13,2.2027829498705285,0.6207565836041794,Watch input regime,1.697312943279113
2026-03-16,2.2765291506491323,0.49166031122894,Normal input regime,1.7944772245081577
2026-03-17,1.9744588902028535,0.6204652435757685,Normal input regime,1.4360515012339434
2026-03-18,2.38049508939433,0.43313741552661966,Stress input regime,1.9930945306236305
2026-03-19,2.9395143642882764,1.0897659967828808,Watch input regime,2.3300541547708153
2026-03-20,4.373671569326448,0.866132812244532,Watch input regime,4.141762183409722
2026-03-23,2.7533323892551924,0.8356833779186972,Normal input regime,3.1251531545728524
2026-03-24,2.309091524565343,0.4622112880488978,Stress input regime,3.001275761919543
2026-03-25,2.0791577869472597,0.3904305373558236,Normal input regime,2.387561795640508
2026-03-26,3.540339090931598,0.6078669798191096,Stress input regime,3.0609014904564305
2026-03-27,4.6033471898138645,1.7682491774447944,Watch input regime,3.9029849637278784
2026-03-30,3.327684476167034,0.8341757809788144,Normal input regime,2.842188427547364
2026-03-31,2.1951170866818415,0.3586481424642395,Normal input regime,1.7862483933725222
2026-04-01,2.4476963794851785,0.48292363070065153,Watch input regime,1.979038880483513
2026-04-02,2.69302229151456,0.8256318714906381,Watch input regime,1.825608301465407
2026-04-07,1.7254384274055623,0.5397608338504722,Normal input regime,1.495496050703167
2026-04-08,4.029583328121921,1.059124218810488,Watch input regime,3.246662123678725
2026-04-09,1.2285715297312885,0.4095647456694272,Normal input regime,1.0638181322551257
2026-04-10,1.3393241413836372,0.3384866876253782,Stress input regime,1.1854294500074662
2026-04-13,1.9455704778198468,0.6546035995811827,Normal input regime,1.1665103938739154
2026-04-14,2.5082397364662974,0.5954242428427687,Watch input regime,1.93732820740915
2026-04-15,2.2239030711142282,0.6785144364744796,Stress input regime,1.4714010281902647
2026-04-16,2.3729584980317435,0.7487029578638742,Stress input regime,1.5420788729191548
2026-04-17,2.0894186556077288,0.38533775595087644,Normal input regime,1.7554777736261598
2026-04-20,1.6632939630392685,0.46081044510269914,Watch input regime,1.0009504603174701
2026-04-21,2.1960613885130913,0.42820984107495585,Stress input regime,1.7335597662085585
2026-04-22,1.015333788575315,0.2136639092204065,Normal input regime,0.6642126101010267
2026-04-23,2.380374463591981,0.6506025616300184,Stress input regime,2.2538675285526875
2026-04-24,1.5698224708806297,0.4603574926395632,Normal input regime,1.1300957724476228
2026-04-27,1.9366988814630515,0.6467312402318545,Stress input regime,1.6224253006605809
2026-04-28,2.1125102248023193,0.7838591013025946,Watch input regime,2.019077047443299
2026-04-29,1.9725271435884009,0.13761825711899597,Stress input regime,1.4586800995710285
2026-04-30,6.340337360122964,1.0480127873614569,Watch input regime,5.618815977097834
2026-05-04,1.7549584347023706,0.22212212604027565,Stress input regime,1.4369264625907427
2026-05-05,2.6226930666644637,0.6939676160727812,Normal input regime,1.7841568173404534
2026-05-06,3.3008917866389704,0.7485773464294948,Normal input regime,2.8088564627835635
2026-05-07,2.0431923173096407,0.43570138763138616,Stress input regime,1.5944696636319546
2026-05-08,1.679440162771852,0.23185459055525282,Normal input regime,1.4311881866924159
2026-05-11,1.5442682881918544,0.2269846397257036,Stress input regime,1.0348630533511454
2026-05-12,1.538550661053776,0.3468999813824412,Stress input regime,1.3963956884521997
2026-05-13,1.3855316407436966,0.44341199024483374,Stress input regime,1.3728194093866695
2026-05-14,1.5790728795942517,0.21444392900641443,Stress input regime,1.484267883175022
2026-05-15,3.6947804863742446,0.514391691123387,Stress input regime,3.069515677221232
2026-05-18,2.4905548174192673,0.9047754515362003,Stress input regime,3.011032208669057
2026-05-19,2.41712289632567,0.6523636418123611,Stress input regime,3.450229121264669
2026-05-20,3.54202704211276,0.8376009075696503,Normal input regime,2.747926850475164
2026-05-21,3.972668279901783,1.309835278020158,Stress input regime,3.1704226852384196
2026-05-22,3.277587145777337,0.9385066045131072,Stress input regime,2.8208291676832413
2026-05-26,3.4674223074406623,1.027784903146635,Normal input regime,2.2918477588057873
2026-05-27,1.5699969105028377,0.4747887399809647,Normal input regime,1.9381005354959424
2026-05-28,1.9111305867200248,0.4361029491783832,Normal input regime,1.5822162894525638
2026-05-29,1.814824701610985,0.5471065437119084,Watch input regime,1.6550749592530676
2026-06-01,2.6279238733113375,0.7175715292488717,Stress input regime,1.8469869644542132
2026-06-02,1.5541060486500997,0.4195456273537318,Stress input regime,1.59292481493583
2026-06-03,1.9864917006819336,0.6096765134450955,Stress input regime,1.9688398787423023
2026-06-04,1.9689127993161264,0.6690142289438532,Normal input regime,1.9305846010712233
2026-06-05,3.803702457262051,0.7665361332771031,Stress input regime,2.666395496924224
